ID	Name	Examine
2658	Carol's barrel	Looks like this is where Carol keeps her stuff.
2659	David's barrel	Looks like this is where David keeps his stuff.
2660	Elizabeth's barrel	Looks like this is where Elizabeth keeps her stuff.
2661	Frank's barrel	Looks like this is where Frank keeps his stuff.
2662	Barrel of flour	Looks like this is where the cook stores flour.
2663	Sacks	Some sacks of general garden items.
2664	Sturdy wooden gate	Luckily it seems able to keep that vicious dog inside.
2665	Sturdy wooden gate	Luckily it seems able to keep that vicious dog inside.
2666	Smashed window	Looks like the killer smashed this to leave the mansion.
2667	Winch	Slaves are using this to pull up barrels of rocks from down below.
2668	Winch bucket	Slaves are placing barrels on this to haul them to the surface.
2669		
2670	Kharidian cactus (Healthy)	A succulent cactus.
2671	Kharidian cactus (Dry)	A less-than-succulent succulent.
2672	An experimental anvil	I can try to make new items on this.
2673	Gate	A solid looking gate.
2674	Gate	A solid looking gate.
2675	Mine door entrance	Large doors made of solid oak.
2676	Mine door entrance	Large doors made of solid oak.
2677	Chest	A solid looking chest, it belongs to Captain Siad.
2678	Bookcase	A selection of Captain Siad's Books.
2679	Captain Siad's Desk	A sturdy looking desk on which the Captain works.
2680	Barrel	A barrel containing rocks and mining debris.
2681	Barrel	An empty mining barrel.
2682	Mine Cart	The cart which takes barrels of rocks from the mining encampment to Al-Kharid.
2683	Window	Gives a lovely view of the desert, complete with metalic bars.
2684	Mine Cart	It seems to be used for moving rocks into and out of this area.
2685	Gate	A solid looking gate.
2686	Gate	A solid looking gate.
2687	Gate	A solid looking gate.
2688	Gate	A solid looking gate.
2689	Prison door	There's no getting around it, it's a fairly sturdy prison cell door.
2690	Mine door entrance	Large solid, thick set oak doors - they lead outside.
2691	Mine door entrance	Large solid, thick set oak doors - they lead outside.
2692	Prison door	It looks fairly sturdy.
2693	Shantay chest	This is used by Shantay and his men to take items to the bank on your behalf.
2694	Rock	A rocky rock.
2695	Rock	A rocky rock.
2696	Rock	A rocky rock.
2697	Rock	A rocky rock.
2698	Mine cave	A cave which has been mined out.
2699	Mine cave	A cave which has been mined out.
2700	Tent door	The entrance to the tent.
2701		
2702	Tracks	Tracks in the sand.
2703	Tracks	Tracks in the sand.
2704	Rocks	Rocky!
2705	Door	It's a door.
2706	Door	A nicely fitted door.
2707	Crate	A wooden crate for storage.
2708	Crate	A wooden crate for storage.
2709	Chest	I wonder what's inside?
2710	Chest	It's open.
2711	Stairs	It's a flight of stairs.
2712	Door	The door is closed.
2713	Hopper	Grain goes in here.
2714	Hopper	Grain goes in here.
2715	Hopper	Grain goes in here.
2716	Hopper	Grain goes in here.
2717	Hopper	Grain goes in here.
2718	Hopper controls	These control the flow of grain from the hopper to the millstones.
2719	Hopper controls	These control the flow of grain from the hopper to the millstones.
2720	Hopper controls	These control the flow of grain from the hopper to the millstones.
2721	Hopper controls	These control the flow of grain from the hopper to the millstones.
2722	Hopper controls	These control the flow of grain from the hopper to the millstones.
2723	Kebab	A spicy meat kebab is cooking here.
2724	Fireplace	A fire burns brightly here.
2725	Fireplace	A grand old fireplace.
2726	Fireplace	A grand old fireplace.
2727	Cooking pot	Something is cooking nicely here.
2728	Range	Ideal for cooking on.
2729	Range	Ideal for cooking on.
2730	Range	Ideal for cooking on.
2731	Range	Ideal for cooking on.
2732	Fire	Hot!
2733		
2734		
2735		
2736		
2737		
2738		
2739		
2740		
2741		
2742		
2743		
2744		
2745		
2746		
2747		
2748		
2749		
2750		
2751		
2752		
2753		
2754		
2755		
2756		
2757		
2758		
2759		
2760		
2761		
2762		
2763		
2764		
2765		
2766		
2767		
2768		
2769		
2770		
2771		
2772		
2773		
2774		
2775		
2776		
2777		
2778		
2779		
2780		
2781	Furnace	A hot place for forging things in.
2782	Anvil	It says "Property of Doric the dwarf." on the side.
2783	Anvil	Used for fashioning metal items.
2784	Blacksmith's tools	Various implements for working with metal.
2785	Furnace	A hot place for forging things in.
2786	City gate	An entrance to Gu'Tanoth.
2787	City gate	An entrance to Gu'Tanoth.
2788	City gate	An entrance to Gu'Tanoth.
2789	City gate	An entrance to Gu'Tanoth.
2790	Chest	I wonder what's inside it.
2791	Counter	A counter made from a stone block.
2792	Counter	A counter made from a stone block.
2793	Counter	An ogre is selling cakes here.
2794	Lever	A lever for activating something.
2795	Lever	A lever for activating something.
2796	Ladder	This leads to the watchtower.
2797	Ladder	This leads downwards.
2798	Bush	A leafy bush.
2799	Bush	A leafy bush.
2800	Bush	A leafy bush.
2801	Bush	A leafy bush.
2802	Bush	A leafy bush.
2803	Bush	A leafy bush.
2804	Cave entrance	I think I can squeeze through here...
2805	Cave entrance	I think I can squeeze through here...
2806	Cave entrance	I think I can squeeze through here...
2807	Cave entrance	I think I can squeeze through here...
2808	Cave entrance	I think I can squeeze through here...
2809	Cave entrance	I think I can squeeze through here...
2810	Cave entrance	I think I can squeeze through here...
2811	Cave entrance	I think I can squeeze through here...
2812	Ladder	This leads downwards.
2813	Cave entrance	I think I can squeeze through here...
2814	Gate	The gate has been locked shut.
2815	Gate	The gate has been locked shut.
2816	Rock of Dalgroth	A strange looking rock...
2817	Cave exit	I think I can get out here...
2818	Cave exit	I think I can get out here...
2819	Cave exit	I think I can get out here...
2820	Cave exit	I think I can get out here...
2821	Cave exit	I think I can get out here...
2822	Cave exit	I think I can get out here...
2823	Hole	A hole.
2824	Hole	A hole
2825	Climbing rope	I hope this leads the way out.
2826	Chest	I wonder what's inside it?
2827	Chest	I wonder what's inside it?
2828		
2829		
2830	Rock	You can probably jump over from here.
2831	Rock	You can probably jump over from here.
2832	Battlement	A low wall is blocking your path.
2833	Ladder	This goes up!
2834	Battlement	A low wall is blocking your path.
2835	Rock	Looks hard.
2836	Rock	Looks hard.
2837	Rock	Looks hard.
2838		
2839		
2840		
2841		
2842	Magical shield	It has a special magical quality.
2843	Drain	This drain leads from the sink to the sewers below.
2844	Sewer valve	This looks like it can be turned.
2845	Sewer valve	This looks like it can be turned.
2846	Sewer valve	This looks like it can be turned.
2847	Sewer valve	This looks like it can be turned.
2848	Sewer valve	This looks like it can be turned.
2849	Raft	A rudimentary type of boat.
2850	Cupboard	It's closed.
2851	Cupboard	It's open.
2852	Cave entrance	I can probably squeeze my way inside there.
2853	Stairs	It's a flight of stairs.
2854	Wall	Made of wood.
2855		
2856	Chest	I wonder what's inside?
2857	Chest	It's open.
2858	Crate	Used for storage.
2859	Range	A hot range, where some soup is bubbling nicely.
2860	Hazeel's coffin	Very ominous.
2861	Door	It's a door.
2862	Door	It's a door.
2863	Door	The door is closed.
2864	Fountain	A water feature.
2865	Gate	It's a gate.
2866	Gate	It's a gate.
2867	Potted plant	Very decorative!
2868	Cupboard	It's a cupboard.
2869	Cupboard	It's a cupboard.
2870	Mouse hole	The mouse equivalent of a door.
2871	Ladder	I can climb down this.
2872	Ladder	I can climb this.
2873	Statue of Saradomin	What a good likeness!
2874	Statue of Zamorak	A depiction that chills one to the bone.
2875	Statue of Guthix	I wonder how accurate a representation this is.
2876	Counter	A counter made from a stone block.
2877	Barrel	A barrel full of staffs...
2878	Sparkling pool	Patterns of light dance hypnotically across the pool's surface.
2879	Sparkling pool	Patterns of light dance hypnotically across the pool's surface.
2880	Mystic portal	There seems to be some sort of magical field here.
2881	Prison Door	It's closed.
2882	Gate	The toll gate from Lumbridge to Al-Kharid.
2883	Gate	The toll gate from Lumbridge to Al-Kharid.
2884	Ladder	I can climb this.
2885	Cupboard	An antique by anyone's standards.
2886	Open Cupboard	An antique by anyone's standards, however, it might have something interesting in it.
2887	Jungle Tree	Looks good for logging.
2888	Jungle Palm	A leafy jungle palm, dense foliage.
2889	Jungle Tree	Home to many unusual creatures.
2890	Jungle Tree	A leafy tree.
2891	Tree stump	This tree has been cut down.
2892	Jungle Bush	A jungle bush, quite common to these areas.
2893	Jungle Bush	A jungle bush, quite common to these areas.
2894	Slashed bush	A jungle bush that has been chopped down.
2895	Slashed bush	A jungle bush that has been chopped down.
2896	Legends Guild door	A door to the Legends Guild.
2897	Legends Guild door	A door to the Legends Guild.
2898		
2899		
2900	Mossy rock	Looks slippery!
2901	Mossy rock	Looks slippery!
2902	Rocks	Stoney!
2903	Cave entrance	A rather shadowy cavern entrance.
2904	Cave entrance	A rather shadowy cavern entrance.
2905	Crate	An old crate for storage.
2906	Table	Useful for putting things on.
2907	Bed	I guess I could sleep in it if I was really tired.
2908	Fire Wall	A wall of magic fire.
2909	Fire Wall	A wall of magic fire.
2910	Desk	Rickety bamboo tables that are lashed together to make a desk.
2911	Bookcase	Bamboo storage!
2912	Ancient Gate	This gate has a horribly complex locking mechanism.
2913	Ancient Gate	This gate has a horribly complex locking mechanism.
2914		
2915		
2916	Cave Entrance	A dark cave entrance leading to the surface.
2917		
2918	Crevice	A large crack in the wall.
2919	Boulder	A huge lump of rock.
2920	Boulder	A huge lump of rock.
2921	Boulder	A huge lump of rock.
2922	Ancient Gate	A heavily constructed, cast-iron, ancient gateway.
2923	Ancient Gate	A heavily constructed, cast-iron, ancient gateway.
2924	Ancient Gate	A heavily constructed, cast-iron, ancient gateway.
2925	Ancient Gate	A heavily constructed, cast-iron, ancient gateway.
2926	Jagged wall	A high wall made up of rocks with sharp edges.
2927	Marked wall	It looks like ancient graffiti.
2928	Carved rock	An ornately carved rock with a pointed receptacle.
2929	Buried skeleton	A half buried skeleton, probably dwarven remains.
2930	Ancient Gate	A huge, strangely constructed doorway, not sure how this opens.
2931	Ancient Gate	It looks like a magical portal of some kind, who knows where it leads?
2932	Barrel	Strangely, there's a locked barrel here, I wonder what's inside.
2933		
2934	Winch	A large scaffold platform most likely used for lifting and lowering heavy items.
2935	Winch	Used to move earth to, and from, the dig shaft. A rope has been thrown over it.
2936	Totem Pole	A sculpted trunk of wood.
2937	Totem Pole	A sculpted trunk of wood.
2938	Totem Pole	A sculpted trunk of wood.
2939	Totem Pole	A sculpted trunk of wood.
2940	Table	A wonderfully dressed table.
2941	Sacred water	Sparkling sacred water straight from the source.
2942	Water Pool	A sparkling, babbling flow of water from an underground source.
2943	Polluted water	Disgusting filthy quagmire that oozes from the ground.
2944	Tall Reeds	Found near the water's edge.
2945	Yommi tree baby	A baby Yommi tree, it has a mystical aura.
2946	Yommi tree sapling	An adolescent-looking Yommi tree, it has a mystical aura.
2947	Dead Yommi sapling	 A dead Yommi tree sapling, you'll need a tough axe to remove this.
2948	Adult Yommi tree	 A fully grown Yommi tree, it won't get much taller than this.
2949	Dead Yommi	A dead fully grown Yommi tree, you'll need a tough, sharp axe to remove this.
2950	Felled Yommi tree	A felled adult Yommi tree, perhaps you should trim those branches?
2951	Rotten Yommi	A rotten felled Yommi tree, it was left too long in the damp jungle.
2952	Trimmed Yommi	A trimmed Yommi tree log, perfect for sculpting into a totem pole.
2953	Rotten Yommi tree	A rotten Yommi tree log, it was left too long in the damp jungle air.
2954	Totem pole	A beautifully crafted totem pole carved from the trunk of the sacred Yommi tree.
2955	Rotten Totem pole	A rotten totem pole, it was left to rot in the jungle.
2956	Fertile Soil	This earth is particularly fertile.
2957	Damaged Earth	This earth is damaged by cultivation, time will restore the fertility.
2958	Climbing rope	A rope hangs here.
2959	Rocky Ledge	A dangerous path onwards.
2960	Rocky Ledge	A dangerous path onwards.
2961	Rocky Ledge	A dangerous path onwards.
2962	Rocks	Stoney!
2963	Rocks	Stoney!
2964	Rocks	Stoney!
2965	Mossy rock	Looks slippery!
2966	Furnace	A hot place for forging things in.
2967		
2968		
2969	Recess	It looks like a strangely shaped depression in the rock.
2970	Filled Recess	This recess has a glowing heart shaped crystal in it.
2971	Shimmering field	This looks like some sort of shimmering surface.
2972	Boulder	A huge lump of rock.
2973	Boulder	A huge lump of rock.
2974	Boulder	A huge lump of rock.
2975	Leafy Palm Tree	This tree is particularly leafy.
2976	Leafy Palm Tree	This tree is particularly leafy.
2977	Sand	A large pile of sand
2978	Sand	A medium pile of sand
2979	Sand	A small pile of sand
2980	Flowers	Some beautiful flowers.
2981	Flowers	Some beautiful flowers.
2982	Flowers	Some beautiful flowers.
2983	Flowers	Some beautiful flowers.
2984	Flowers	Some beautiful flowers.
2985	Flowers	Some beautiful flowers.
2986	Flowers	Some beautiful flowers.
2987	Flowers	Some beautiful flowers.
2988	Flowers	Some beautiful flowers.
2989	Vine	Known commonly as Red worm vine.
2990	Vine	Known commonly as Red worm vine.
2991	Vine	Known commonly as Red worm vine.
2992	Vine	Known commonly as Red worm vine.
2993	Vine	Known commonly as Red worm vine.
2994	Vine	Known commonly as Red worm vine.
2995	Closed chest	I wonder what's inside.
2996	Closed chest	I wonder what's inside.
2997	Door	The door is closed.
2998	Door	The door is open.
2999		
3000	Timber defence	These obviously mean keep out!
3001		
3002		
3003		
3004		
3005		
3006		
3007		
3008		
3009		
3010		
3011		
3012		
3013		
3014	Door	A nicely fitted door.
3015	Gate	A wooden gate.
3016	Gate	A wooden gate.
3017	Door	A nicely fitted door.
3018	Door	A nicely fitted door.
3019	Door	A nicely fitted door.
3020	Gate	A wrought iron gate.
3021	Gate	A wrought iron gate.
3022	Gate	A wrought iron gate.
3023	Gate	A wrought iron gate.
3024	Door	A closed door.
3025	Door	A closed door.
3026	Door	A closed door.
3027	Door	A closed door.
3028	Ladder	I can climb this.
3029	Ladder	I can climb down this.
3030	Ladder	I can climb this.
3031	Ladder	I can climb down this.
3032	Fishing spot	I can see fish swimming in the water.
3033	Tree	One of the most common trees in RuneScape.
3034	Tree	One of the most common trees in RuneScape.
3035	Tree	One of the most common trees in RuneScape.
3036	Tree	One of the most common trees in RuneScape.
3037	Oak	A beautiful old oak.
3038	Fire	Hot!
3039	Range	Ideal for cooking on.
3040	Cupboard	It's closed.
3041	Cupboard	It's open.
3042	Rocks	A rocky outcrop.
3043	Rocks	A rocky outcrop.
3044	Furnace	A hot place for forging things in.
3045	Bank booth	The bank teller will serve you from here.
3046	Timber defence	These obviously mean keep out!
3047		
3048		
3049		
3050		
3051		
3052		
3053		
3054		
3055		
3056		
3057		
3058		
3059		
3060		
3061		
3062		
3063		
3064		
3065		
3066		
3067		
3068		
3069		
3070		
3071		
3072		
3073		
3074		
3075		
3076		
3077	Wall	Lean against the wall to get a better view!
3078	Wall	Lean against the wall to get a better view!
3079	Wall	Lean against the wall to get a better view!
3080		
3081		
3082	Wall	Lean against the wall to get a better view!
3083	Wall	Lean against the wall to get a better view!
3084		
3085		
3086		
3087		
3088		
3089		
3090		
3091		
3092		
3093		
3094		
3095		
3096		
3097		
3098		
3099		
3100		
3101		
3102		
3103		
3104		
3105		
3106		
3107		
3108	Entrance	Flags marking the entrance to the arena.
3109	Entrance	Flags marking the entrance to the arena.
3110		
3111	Entrance	Flags marking the entrance to the arena.
3112	Entrance	Flags marking the entrance to the arena.
3113	Entrance	Flags marking the entrance to the arena.
3114	Entrance	Flags marking the entrance to the arena.
3115		
3116		
3117		
3118		
3119		
3120		
3121		
3122		
3123		
3124		
3125		
3126		
3127		
3128		
3129		
3130		
3131		
3132		
3133		
3134		
3135		
3136		
3137		
3138		
3139		
3140		
3141		
3142		
3143		
3144		
3145		
3146		
3147		
3148		
3149		
3150		
3151		
3152		
3153		
3154		
3155		
3156		
3157		
3158		
3159	Bed	Beats the operating table.
3160		
3161		
3162		
3163		
3164		
3165		
3166		
3167		
3168		
3169		
3170		
3171		
3172		
3173		
3174		
3175		
3176		
3177		
3178		
3179		
3180		
3181		
3182	Chair	Wait here for a nurse.
3183	Hospital shelves	Storage for drugs and bandages.
3184	Hospital shelves	Storage for drugs and bandages.
3185	Hospital shelves	Storage for drugs and bandages.
3186	Operating Table	I don't really want to end up here...
3187	Operating Table	I don't really want to end up here...
3188		
3189		
3190	Drawers	These open and close!
3191	Drawers	This may be worth searching.
3192	Scoreboard	You can see the last 50 fights on here.
3193	Closed chest	Used to store players' items whilst they duel.
3194	Open chest	Use for quick access to your bank.
3195	Crate	Smells pretty bad!
3196	Damaged armour	Not much use for anything except scrap.
3197	Gate	Entrance to the Duel Arena.
3198	Gate	Entrance to the Duel Arena.
3199	Bed	A wooden double bed.
3200		
3201		
3202		
3203	Trapdoor	Access to the duel arena.
3204		
3205	Ladder	I can climb down this.
3206	Barrel	A barrel full of staffs...
3207		
3208		
3209	Odd looking wall	A strange crack cuts into the wall.
3210	Odd looking wall	A strange crack cuts into the wall.
3211	Odd looking wall	A strange crack cuts into the wall.
3212	Odd looking wall	A strange crack cuts into the wall.
3213	Cave entrance	It looks like I can squeeze through here.
3214	Underground Pass Exit	The easy way out...
3215		
3216	Mud	A pile of mud.
3217	Cave	I can go through here.
3218	Tunnel	Dark and intimidating.
3219	Tunnel	Dark and intimidating.
3220	Door	That skull's looking at me....
3221	Door	That skull's looking at me....
3222	Cave Stairs	I can climb down these.
3223	Cave Stairs	I can climb up these.
3224	Cave	I can go through here.
3225		
3226		
3227	Trap	Best not to get caught!
3228	Trap	Best avoided.
3229	Trap	Best avoided.
3230	Flat rock	Looks suspicious.
3231	Plank	A plank.
3232	Stalagmites	Formed over many years.
3233	Trap	Best avoided.
3234	Odd markings	Looks suspicious.
3235	Obstacle pipe	I can open the grill from this side.
3236	Obstacle pipe	A pipe I can squeeze through.
3237	Obstacle pipe	A pipe I can squeeze through.
3238	Ledge	Maybe I can cross that.
3239	Bridge	It looks like only the guide ropes are holding the bridge up.
3240	Bridge	A bridge.
3241	Lever	This lever can be operated.
3242	Lever	This lever can be operated.
3243	Platform	The base of a platform.
3244	Platform	The base of a platform.
3245	Platform	The base of a platform.
3246	Platform	The base of a platform.
3247	Bridge	A bridge.
3248	Bridge	A bridge.
3249	Bridge	A bridge.
3250	Bridge	A bridge.
3251		
3252		
3253		
3254	Bridge	I can't get past that very easily...
3255	Bridge	I can't get past that very easily...
3256		
3257	Platform	A platform.
3258	Bridge	A bridge.
3259	Bridge	A bridge.
3260	Bridge	A bridge.
3261		
3262		
3263	Swamp	This area may not be safe...
3264	Well	A well of nastiness.
3265	Pile of rocks	I can climb this pile of rocks...
3266	Cage	Usually used for storing living things...
3267	Cage	Usually used for storing living things...
3268	Cage	Usually used for storing living things...
3269		
3270	Door	The door is closed.
3271	Door	The door is open.
3272	Chest	I wonder what's inside.
3273	Chest	I wonder what's inside.
3274	Chest	I wonder what's inside.
3275		
3276	Stone bridge	A stone bridge.
3277		
3278		
3279		
3280		
3281		
3282		
3283		
3284		
3285		
3286		
3287		
3288		
3289		
3290		
3291		
3292		
3293		
3294	Furnace	A hot place for forging things in.
3295	Stone tablet	It's covered in strange writing.
3296	Stone tablet	It's covered in strange writing.
3297	Stone tablet	It's covered in strange writing.
3298	Stone tablet	It's covered in strange writing.
3299	Stone tablet	It's covered in strange writing.
3300	Stone tablet	It's covered in strange writing.
3301	Stone tablet	It's covered in strange writing.
3302	Stone tablet	It's covered in strange writing.
3303	Portcullis	You won't be able to lift that.
3304	Portcullis	A portcullis.
3305	Well	It doesn't look like water in there...
3306		
3307	Rockpile	A pile of rocks.
3308	Smashed cage	The boulder has smashed through the cage.
3309	Rockslide	A deposit of rocks.
3310		
3311		
3312		
3313		
3314		
3315		
3316		
3317		
3318		
3319		
3320		
3321		
3322		
3323		
3324		
3325		
3326		
3327	Eerie statue	Intimidating!
3328	Dwarf statue	A depiction of a great dwarf miner.
3329		
3330		
3331		
3332	Temple door	A temple door.
3333	Door	A very big door.
3334	Door	A very big door.
3335	Door	A very big door.
3336	Door	A very big door.
3337	Lever	This lever can be operated.
3338	Hanging log	Why would a log be hung up there?
3339	Flat rock	Looks suspicious.
3340	Guide rope	Looks like the rope is holding the bridge up.
3341	Guide rope	Looks like the other rope is holding the bridge up.
3342		
3343	Rock pile	A pile of rocks.
3344	Barrel	It's got dwarf brew in it.
3345		
3346		
3347		
3348	Iban's Throne	Lord Iban's Throne.
3349		
3350		
3351	Cage	I'm glad I'm on this side of those bars.
3352	Cage	I'm glad I'm on this side of those bars.
3353	Tomb	I don't much like the look of that...
3354	Tomb	I don't much like the look of that...
3355		
3356		
3357		
3358		
3359	Well	Well of the damned.
3360	Crate	A wooden crate for storage.
3361	Orb of Light	A magical sphere that glimmers within.
3362	Window	A window.
3363		
3364	Rock	An odd looking rock formation.
3365	Protruding rocks	Looks like I can climb these.
3366	Onion	Makes you cry.
3367	Prison Door	Steel bars that are locked securely.
3368		
3369		
3370		
3371	Achey Tree stump	An Achey tree stump.
3372	Ogre spit-roast	Useful for ogre dinners.
3373	Ogre spit-roast	Useful for ogre dinners.
3374	Ogre spit-roast	Useful for ogre dinners.
3375	Ogre spit-roast	Useful for ogre dinners.
3376	Ogre bench	An ogre bench, useful for taking all that weight off their legs.
3377	Locked Ogre chest	Hmmm, a rock for a lock....
3378	Unlocked Ogre chest	Some stealthy thief must have picked the ogre lock!
3379	Cave entrance	The entrance to Rantz's cave
3380	Cave exit	Exit this way for fresh air and daylight.
3381	Cave exit	Exit this way for fresh air and daylight.
3382	Ogre spit-roast	Useful for ogre dinners.
3383	Ogre spit-roast	Useful for ogre dinners.
3384		
3385		
3386		
3387		
3388		
3389	Bookcase	A good source of books!
3390	Odd looking wall	A strange crack cuts into the wall.
3391	Odd looking wall	A strange crack cuts into the wall.
3392	Odd looking wall	A strange crack cuts into the wall.
3393	Odd looking wall	A strange crack cuts into the wall.
3394	Crate	A wooden crate for storage.
3395	Crate	A wooden crate for storage.
3396	Boxes	A pile of boxes for storage.
3397	Boxes	A pile of boxes for storage.
3398	Crate	A wooden crate for storage.
3399	Crate	A wooden crate for storage.
3400	Crate	A wooden crate for storage.
3401	Crate	A wooden crate for storage.
3402	Workbench	Used for fashioning metal items.
3403	Pile of Rock	A pile of Elemental rock.
3404	Water Valve	A valve to start and stop the flow of water.
3405	Water Valve	A valve to start and stop the flow of water.
3406	Lever	This lever can be operated.
3407	Water wheel	It spins.
3408	Water wheel	It spins.
3409	Lever	This lever can be operated.
3410	Bellows	Big bellows.
3411	Bellows	Big bellows.
3412		
3413	Furnace	A furnace with an air blast pipe.
3414	Lava trough	A small trough full of lava.
3415	Staircase	I can climb down these stairs.
3416	Staircase	I can climb up these stairs.
3417	Lever	This lever can be operated.
3418		
3419		
3420		
3421		
3422		
3423		
3424		
3425		
3426		
3427		
3428		
3429	Machinery	Water powered machinery.
3430		
3431	Rocks	Stoney!
3432	Trapdoor	I wonder what's under it?
3433	Trapdoor	I can see a holy barrier at the bottom.
3434		
3435		
3436		
3437		
3438		
3439		
3440	Stairs	They let you walk up them!
3441	Stairs	They let you walk down them!
3442		
3443	Holy barrier	A holy barrier blocking evil forces.
3444	Gate	A sturdy metal gate.
3445	Gate	A sturdy metal gate.
3446		
3447		
3448		
3449		
3450		
3451		
3452		
3453		
3454		
3455		
3456		
3457		
3458		
3459		
3460		
3461		
3462		
3463	Cell door	A hastily constructed yet sturdy prison door.
3464		
3465		
3466	Hanging meat	Dead animal parts dangling!
3467	Hanging meat	So how long has this been dead, then?
3468		
3469		
3470		
3471		
3472		
3473		
3474		
3475		
3476		
3477		
3478		
3479	Statue	A statue honouring Saradomin.
3480	Coffin	An ornately decorated coffin. Something seems to be alive inside.
3481		
3482		
3483		
3484		
3485	Well	An ornately carved well that draws water from the river Salve.
3486		
3487		
3488		
3489	Large door	Sturdy looking door.
3490	Large door	Sturdy looking door.
3491		
3492		
3493	Monument	A monument to a fallen priest.
3494	Monument	A monument to a fallen priest.
3495	Monument	A monument to a fallen priest.
3496	Monument	A monument to a fallen priest.
3497	Monument	A monument to a fallen priest.
3498	Monument	A monument to a fallen priest.
3499	Monument	A monument to a fallen priest.
3500	Church organ	With skill I can play this.
3501		
3502		
3503		
3504		
3505		
3506	Gate	A wrought iron gate.
3507	Gate	A wrought iron gate.
3508	Rotting log	Not sure if I should sit on that.
3509	Fungi on log	Not sure if I should sit on that.
3510	Rotting branch	Not sure if that's any use.
3511	Budding branch	Not sure if that's any use.
3512	A small bush	It'll probably die soon.
3513	A golden pear bush	It'll probably die soon.
3514	Rotting tree	Not sure if I should stand under that.
3515		
3516	Grotto	A dark dank entrance to below..
3517	Grotto tree	A large tree thriving where trees normally die.
3518		
3519		
3520	Grotto	Special grotto area.
3521	Altar of nature	A grotto transformed into an altar of nature.
3522	Bridge	It's a bridge.
3523	Bench	An old bench, probably made from wood in this swamp.
3524		
3525	Grotto	The door.
3526	Grotto	The green door.
3527	Stone	A roughly hewn stone with some sort of symbol on it.
3528	Stone	A roughly hewn stone with some sort of symbol on it.
3529	Stone	A roughly hewn stone with some sort of symbol on it.
3530		
3531		
3532		
3533		
3534		
3535		
3536		
3537		
3538		
3539		
3540		
3541		
3542		
3543		
3544		
3545		
3546	Old well	There is a rope leading to the bottom of this well.
3547		
3548		
3549		
3550		
3551	Balancing rope	I can balance on this rope.
3552	Balancing rope	I can balance on this rope.
3553	Log balance	I can balance on this log.
3554	Log balance	I can balance on this log.
3555	Log balance	I can balance on this log.
3556	Log balance	I can balance on this log.
3557	Log balance	I can balance on this log.
3558	Log balance	I can balance on this log.
3559	Balancing ledge	Tread carefully!
3560	Balancing ledge	Tread carefully!
3561	Balancing ledge	Tread carefully!
3562	Balancing ledge	Tread carefully!
3563	Monkey bars	Now, I'm the king of the swingers, oh, the jungle VIP.
3564	Monkey bars	Now, I'm the king of the swingers, oh, the jungle VIP.
3565	Low wall	It looks like I can clamber over this.
3566	Rope swing	Use this to swing over to the next platform.
3567	Blade	I might want to avoid this nasty blade.
3568	Blade	I might want to avoid this nasty blade.
3569	Blade	I might want to avoid this nasty blade.
3570	Plank	Walk the plank! Ya land lubber!
3571	Plank	Walk the plank! Ya land lubber!
3572	Plank	Walk the plank! Ya land lubber!
3573	Plank	Walk the plank! Ya land lubber!
3574	Plank	Walk the plank! Ya land lubber!
3575	Plank	Walk the plank! Ya land lubber!
3576	Plank	Walk the plank! Ya land lubber!
3577	Plank	Walk the plank! Ya land lubber!
3578	Pillar	It's a small step for a player, a giant leap for player kind.
3579	Pillar	It's a small step for a player, a giant leap for player kind.
3580	Spinning blades	Makes sliced human.
3581	Ticket Dispenser	Releases a ticket when the flashing arrow is above it.
3582	Floor spikes	Makes human colanders.
3583	Hand holds	I can use these to climb across to the other side.
3584	Hand holds	I can use these to climb across to the other side.
3585	Pressure pad	Looks suspiciously like a pressure pad to me.
3586		
3587		
3588		
3589		
3590		
3591		
3592		
3593		
3594		
3595		
3596		
3597		
3598		
3599		
3600		
3601		
3602		
3603		
3604		
3605		
3606		
3607		
3608	Ticket Dispenser	Releases a ticket when the flashing arrow is above it.
3609		
3610	Climbing rope	I can use this rope to climb back to the top.
3611		
3612		
3613		
3614		
3615		
3616		
3617	Ladder	Leads down into the Agility Arena.
3618	Ladder	Leads back to Brimhaven.
3619		
3620		
3621		
3622		
3623		
3624		
3625		
3626	Wall	It looks very sturdy.
3627		
3628	Wall	It looks very sturdy.
3629	Wall	It looks very sturdy.
3630	Wall	It looks very sturdy.
3631	Wall	It looks very sturdy.
3632	Wall	It looks very sturdy.
3633		
3634	Strange shrine	A shrine of the gods!
3635	Chest	I wonder what's inside...
3636	Chest	It looks empty.
3637		
3638		
3639		
3640		
3641		
3642		
3643		
3644	Spotlight	That's really bright!
3645		
3646		
3647		
3648		
3649		
3650		
3651		
3652		
3653		
3654		
3655		
3656		
3657		
3658		
3659		
3660		
3661		
3662	Troll Stew	Smells more like "innocent villager" stew to me...
3663		
3664		
3665	Bones	Troll leftovers...
3666		
3667		
3668		
3669		
3670		
3671		
3672		
3673		
3674		
3675		
3676	Stone Mechanism	A stone mechanism that unlocks the equipment room.
3677	Stone Mechanism	A stone mechanism that unlocks the equipment room.
3678		
3679	Standard	A standard of Asgarnia.
3680	Flagpole	The flag of Asgarnia.
3681	Signpost	Town of Burthorpe
3682		
3683		
3684		
3685	Boxes	A pile of boxes for storage.
3686	Boxes	A pile of boxes for storage.
3687	Boxes	A pile of boxes for storage.
3688		
3689		
3690		
